高齢者生きがい活動センター研修室・講座室,埼玉県さいたま市北区植竹町1-593-1
植竹小学校 ランチルーム,埼玉県さいたま市北区植竹町2-1
北区役所 2階B会議室,埼玉県さいたま市北区宮原町1-852-1
日進中学校 武道場,埼玉県さいたま市北区櫛引町2-503-1
日進小学校 しいの木１組教室,埼玉県さいたま市北区日進町2-911
松原自治会館,埼玉県さいたま市北区日進町2-635
泰平小学校 体育館,埼玉県さいたま市北区今羽町628
土呂中学校 体育館,埼玉県さいたま市北区見沼3-75
植竹中学校 図書館,埼玉県さいたま市北区土呂町352
奈良町自治会館,埼玉県さいたま市北区奈良町94-2
奈良保育園 遊戯室（ホール）,埼玉県さいたま市北区奈良町125-6
大砂土小学校 職員会議室(東校舎1階),埼玉県さいたま市北区本郷町1
産業振興会館 多目的ホール,埼玉県さいたま市北区日進町2-1915-4
日進公園コミュニティセンター 体育室,埼玉県さいたま市北区日進町1-312-2
日進町1丁目自治会館,埼玉県さいたま市北区日進町1-551
日進北小学校 学校地域連携コーディネーター室,埼玉県さいたま市北区日進町3-178
東大成1丁目自治会館,埼玉県さいたま市北区東大成町1-487
東大成小学校 図書室,埼玉県さいたま市北区東大成町2-12
大宮別所小学校 体育館,埼玉県さいたま市北区別所町42-1
宮原町2丁目自治会館,埼玉県さいたま市北区宮原町2-39ｰ18
宮原町3丁目自治会館,埼玉県さいたま市北区宮原町3-283
宮原小学校 つくし１組教室（第2校舎1階）,埼玉県さいたま市北区宮原町4-102-6
