柏市役所本庁舎1　階ロビー,柏市柏５丁目１０－１
パレット柏（DayOneタワー3階）,柏市柏１丁目４－７
リフレッシュプラザ柏,柏市南増尾５８－３
ららぽーと柏の葉　本館3階キッズプレイエリア,柏若柴１７５
イオンモール柏　3階ノースブリッジ,柏市豊町２－５－２５
モラージュ柏　2階モラージュホール,柏市大山台２－３
セブンパークアリオ柏　3階特設会場,柏市大島田１－６－１
沼南庁舎　2階　市民交流サロン,柏市大島田４８－１
田中近隣センター,柏市大室２４９－１
高柳近隣センター,柏市高柳１６５２－１０
アミュゼ柏,柏市柏６丁目２番２２号
柏市立柏第一小学校,柏市あけぼの１丁目７番６号
柏市立柏第二小学校,柏市豊四季３１０番地
柏市立柏第三小学校,柏市若葉町４番５４号
柏市立柏第四小学校,柏市松ケ崎１１８２番地の９
柏市立柏第五小学校,柏市柏９３２番地の７
柏市旭町近隣センター,柏市旭町５丁目３番３２号
朝日会館,柏市中央２丁目２番３４号
柏市立田中中学校,柏市大室２４９番地の９
柏市北部近隣センター,柏市大青田１５４１番地の２
柏市立柏の葉小学校,柏市十余二３４８番地５１中央４０４街区１
柏市立土小学校,柏市増尾４丁目４番１号
グリーンタウン光ケ丘集会所,柏市光ケ丘団地３番
柏市立富勢中学校,柏市根戸４６７番地の１
柏市立富勢小学校,柏市布施９２５番地の１
今谷上町ふるさとセンター,柏市今谷上町４２番地の１２５
柏市豊四季台近隣センター,柏市豊四季台１丁目１番１１６号
柏市立柏第六小学校　,柏市豊四季台４丁目２番１号
柏市立土南部小学校,柏市新逆井１丁目１０番１号
柏市立西原小学校,柏市西原４丁目１７番１号
千代田ふるさとセンター,柏市千代田２丁目７番２１号
柏市立酒井根小学校,柏市酒井根１９番地の２
柏市立豊小学校,柏市豊四季６１０番地の２
柏市立柏中学校,柏市明原４丁目１番１号
柏市藤心近隣センター,柏市藤心４丁目１番１１号
柏市立柏第二中学校,柏市弥生町６番６号
柏市光ケ丘近隣センター,柏市光ケ丘団地２００番５号
柏市立光ケ丘中学校,柏市光ケ丘４丁目２３番１号
柏市立柏第八小学校,柏市永楽台２丁目８番１号
柏市立旭小学校,柏市旭町６丁目５番１７号
庚塚公民館,柏市十余二３１３番地の４２
柏市立柏第七小学校,柏市篠籠田７２３番地の１
野沢ふるさと会館,柏市南逆井６丁目３４番１号
柏市西原近隣センター　体育館,柏市西原２丁目１０番６２号
柏市立中原小学校,柏市中原１８２１番地の１
富士見町ふるさと会館,柏市豊四季１２４番地の７
柏市立高田小学校,柏市高田３７６番地の３
花野井公会堂,柏市花野井９８１番地の４
柏市立田中北小学校,柏市船戸１丁目７番地１
柏市布施近隣センター,柏市布施１１９６番地の５
柏市酒井根近隣センター,柏市酒井根６５３番地の４
柏市立松葉中学校,柏市松葉町３丁目１４番地
柏市立逆井中学校,柏市逆井５５５番地
柏市立増尾西小学校,柏市増尾台３丁目５番９号
中新宿ふるさとセンター,柏市中新宿３丁目１番２１号
柏市立松葉第二小学校,柏市松葉町２丁目１６番地
北柏町会ふるさと会館,柏市北柏３丁目１５番１０号
柏市根戸近隣センター,柏市根戸４６７番地の１７８
柏市役所,柏市柏５丁目１０番１号
戸張ふるさと会館,柏市戸張１３０８番地の１
柏市増尾近隣センター,柏市増尾３丁目１番１号
柏市立中原中学校,柏市中原１８１６番地の２
柏市立南部中学校,柏市南増尾６丁目１６番１号
柏市南部近隣センター　体育館,柏市南逆井１丁目２０番１号
松ケ崎町会集会所,柏市松ケ崎３１９番地の１
柏市柏ビレジ近隣センター,柏市大室１２８５番地の１
柏市立西原中学校,柏市西原６丁目１３番１号
柏市立柏第三中学校,柏市篠籠田９８７番地の１
十余二緑町ふるさと会館,柏市みどり台４丁目１０番１号
柏市立十余二小学校,柏市柏の葉４丁目４番１号
柏市立手賀東小学校,柏市手賀４７９番地７
柏市立手賀西小学校,柏市泉５４１番地
沼南庁舎,柏市大島田４８番地１
柏市立風早北部小学校,柏市大井１８５４番地１
柏市立大津ケ丘中学校,柏市大津ケ丘１丁目２５番地
柏市立大津ケ丘第一小学校,柏市大津ケ丘３丁目５０番地
柏市立大津ケ丘第二小学校,柏市大津ケ丘４丁目８番地
柏市立風早中学校,柏市立塚崎１３１９番地
藤ケ谷区民館,柏市藤ケ谷５５８番地
柏市立風早南部小学校,柏市藤ケ谷新田１１１番地２
柏市立高柳中学校,柏市高南台1丁目１番地１
柏市立高柳小学校,柏市高南台３丁目１４番地１２
柏市立高柳西小学校,柏市しいの木台３丁目２番地
