大谷小学校 1年6組,埼玉県さいたま市見沼区大字大谷18
東宮下小学校 活動室,埼玉県さいたま市見沼区大字東宮下215-1
大谷中学校 武道場,埼玉県さいたま市見沼区大字大谷1634-2
大和田自治会館,埼玉県さいたま市見沼区大和田町1-396
大和田保育園,埼玉県さいたま市見沼区大和田町1-1230-92
大砂土中学校 1年4組,埼玉県さいたま市見沼区東大宮1-100-1
大砂土東小学校 体育館,埼玉県さいたま市見沼区大和田町2-998
春野小学校 にじいろ学級1組,埼玉県さいたま市見沼区春野1-10-1
片柳公民館,埼玉県さいたま市見沼区大字東新井117-2
片柳中学校 体育館,埼玉県さいたま市見沼区大字御蔵551
中川自治会館,埼玉県さいたま市見沼区大字中川694-1
南中野自治会館,埼玉県さいたま市見沼区大字南中野596-2
春里中学校 武道場,埼玉県さいたま市見沼区大字小深作268-19
島小学校 5年2組,埼玉県さいたま市見沼区島町533-2
島町自治会館,埼玉県さいたま市見沼区島町235-1
見沼小学校 図書室,埼玉県さいたま市見沼区東大宮2-45
七里小学校 体育館,埼玉県さいたま市見沼区大字東宮下312
蓮沼小学校 体育館,埼玉県さいたま市見沼区大字蓮沼1070
春岡小学校 かがやき教室,埼玉県さいたま市見沼区春岡2-29-1
海老沼小学校 体育館,埼玉県さいたま市見沼区大字東新井710-5
東大宮自治会館,埼玉県さいたま市見沼区東大宮1-13-1
春岡幼稚園,埼玉県さいたま市見沼区丸ヶ崎町45-1
片柳児童センター,埼玉県さいたま市見沼区大字東新井710-78
